type,name,parent,child,x,y,z,qw,qx,qy,qz,axis_x,axis_y,axis_z,value,joint_type,virtual,comp_type,comp_index
link,base,,,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,0,,
link,l1,,,0.000000,0.000000,0.100000,0.707107,0.000000,-0.707107,0.000000,,,,,,0,,
link,l2,,,0.500000,0.000000,0.200077,1.000000,0.000000,-0.000077,0.000000,,,,,,0,,
link,l3,,,0.722138,0.000000,0.615837,0.471315,0.000000,-0.881965,0.000000,,,,,,0,,
link,l4,,,0.357284,0.000000,1.080841,0.255034,0.000000,-0.966932,0.000000,,,,,,0,,
link,_s_link1_3,,,0.444276,0.000000,1.031520,0.471315,0.000000,-0.881965,0.000000,,,,,,1,,
link,_s_link2_3,,,0.444276,0.000000,1.031520,0.255034,0.000000,-0.966932,0.000000,,,,,,1,,
joint,,base,l1,0.000000,0.000000,0.000000,,,,,0.000000,0.000000,1.000000,0.000000,1,,0,-1
joint,,l1,l2,0.000000,0.000000,0.200000,,,,,0.000000,-1.000000,0.000000,-1.570643,1,,0,-1
joint,,l2,l3,1.000000,0.000000,0.200154,,,,,0.000000,-1.000000,0.000000,2.159877,1,,0,-1
joint,,l3,_s_link1_3,0.444276,0.000000,1.031520,,,,,-0.555724,0.000000,0.831367,0.000000,1,,1,0
joint,,_s_link1_3,_s_link2_3,0.444276,0.000000,1.031520,,,,,0.000000,1.000000,0.000000,-0.465796,1,,1,1
joint,,_s_link2_3,l4,0.444276,0.000000,1.031520,,,,,-0.869915,0.000000,0.493202,0.000000,1,,1,2
frame,gripper,l4,,0.270293,0.000000,1.130161,0.255034,0.000000,-0.966932,0.000000,,,,,,,,
