type,name,parent,child,x,y,z,qw,qx,qy,qz,axis_x,axis_y,axis_z,value,joint_type,virtual,comp_type,comp_index
link,base,,,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,0,,
link,l1,,,0.000000,0.000000,0.100000,0.707107,0.000000,-0.707107,0.000000,,,,,,0,,
link,l2,,,0.493468,0.000000,0.280555,0.996729,0.000000,-0.080820,0.000000,,,,,,0,,
link,l3,,,0.676358,0.000000,0.752954,0.435226,0.000000,-0.900321,0.000000,,,,,,0,,
link,l4,,,0.276414,0.000000,1.189672,0.230590,0.000000,-0.973051,0.000000,,,,,,0,,
link,_s_link1_3,,,0.365780,0.000000,1.144797,0.435226,0.000000,-0.900321,0.000000,,,,,,1,,
link,_s_link2_3,,,0.365780,0.000000,1.144797,0.230590,0.000000,-0.973051,0.000000,,,,,,1,,
joint,,base,l1,0.000000,0.000000,0.000000,,,,,0.000000,0.000000,1.000000,0.000000,1,,0,-1
joint,,l1,l2,0.000000,0.000000,0.200000,,,,,0.000000,-1.000000,0.000000,-1.408981,1,,0,-1
joint,,l2,l3,0.986936,0.000000,0.361110,,,,,0.000000,-1.000000,0.000000,2.079198,1,,0,-1
joint,,l3,_s_link1_3,0.365780,0.000000,1.144797,,,,,-0.621156,0.000000,0.783687,0.000000,1,,1,0
joint,,_s_link1_3,_s_link2_3,0.365780,0.000000,1.144797,,,,,0.000000,1.000000,0.000000,-0.435210,1,,1,1
joint,,_s_link2_3,l4,0.365780,0.000000,1.144797,,,,,-0.893656,0.000000,0.448752,0.000000,1,,1,2
frame,gripper,l4,,0.187049,0.000000,1.234547,0.230590,0.000000,-0.973051,0.000000,,,,,,,,
