type,name,parent,child,x,y,z,qw,qx,qy,qz,axis_x,axis_y,axis_z,value,joint_type,virtual,comp_type,comp_index
link,base,,,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,0,,
link,l1,,,0.000000,0.000000,0.100000,0.707107,0.000000,-0.707107,0.000000,,,,,,0,,
link,l2,,,0.498325,0.000000,0.240891,0.999162,0.000000,-0.040925,0.000000,,,,,,0,,
link,l3,,,0.703589,0.000000,0.686893,0.454905,0.000000,-0.890540,0.000000,,,,,,0,,
link,l4,,,0.322540,0.000000,1.139524,0.245072,0.000000,-0.969505,0.000000,,,,,,0,,
link,_s_link1_3,,,0.410528,0.000000,1.092004,0.454905,0.000000,-0.890540,0.000000,,,,,,1,,
link,_s_link2_3,,,0.410528,0.000000,1.092004,0.245072,0.000000,-0.969505,0.000000,,,,,,1,,
joint,,base,l1,0.000000,0.000000,0.000000,,,,,0.000000,0.000000,1.000000,0.000000,1,,0,-1
joint,,l1,l2,0.000000,0.000000,0.200000,,,,,0.000000,-1.000000,0.000000,-1.488923,1,,0,-1
joint,,l2,l3,0.996650,0.000000,0.281782,,,,,0.000000,-1.000000,0.000000,2.115188,1,,0,-1
joint,,l3,_s_link1_3,0.410528,0.000000,1.092004,,,,,-0.586123,0.000000,0.810222,0.000000,1,,1,0
joint,,_s_link1_3,_s_link2_3,0.410528,0.000000,1.092004,,,,,0.000000,1.000000,0.000000,-0.449344,1,,1,1
joint,,_s_link2_3,l4,0.410528,0.000000,1.092004,,,,,-0.879880,0.000000,0.475197,0.000000,1,,1,2
frame,gripper,l4,,0.234552,0.000000,1.187043,0.245072,0.000000,-0.969505,0.000000,,,,,,,,
