type,name,parent,child,x,y,z,qw,qx,qy,qz,axis_x,axis_y,axis_z,value,joint_type,virtual,comp_type,comp_index
link,base,,,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,0,,
link,l1,,,0.000000,0.000000,0.100000,0.707107,0.000000,-0.707107,0.000000,,,,,,0,,
link,l2,,,0.465511,0.000000,0.382482,0.982604,0.000000,-0.185712,0.000000,,,,,,0,,
link,l3,,,0.560236,0.000000,0.900401,0.359464,0.000000,-0.933159,0.000000,,,,,,0,,
link,l4,,,0.094733,0.000000,1.267910,0.162523,0.000000,-0.986705,0.000000,,,,,,0,,
link,_s_link1_3,,,0.189450,0.000000,1.235837,0.359464,0.000000,-0.933159,0.000000,,,,,,1,,
link,_s_link2_3,,,0.189450,0.000000,1.235837,0.162523,0.000000,-0.986705,0.000000,,,,,,1,,
joint,,base,l1,0.000000,0.000000,0.000000,,,,,0.000000,0.000000,1.000000,0.000000,1,,0,-1
joint,,l1,l2,0.000000,0.000000,0.200000,,,,,0.000000,-1.000000,0.000000,-1.197202,1,,0,-1
joint,,l2,l3,0.931022,0.000000,0.564964,,,,,0.000000,-1.000000,0.000000,2.032613,1,,0,-1
joint,,l3,_s_link1_3,0.189450,0.000000,1.235837,,,,,-0.741572,0.000000,0.670874,0.000000,1,,1,0
joint,,_s_link1_3,_s_link2_3,0.189450,0.000000,1.235837,,,,,0.000000,1.000000,0.000000,-0.408893,1,,1,1
joint,,_s_link2_3,l4,0.189450,0.000000,1.235837,,,,,-0.947173,0.000000,0.320724,0.000000,1,,1,2
frame,gripper,l4,,0.000016,0.000000,1.299982,0.162523,0.000000,-0.986705,0.000000,,,,,,,,
