type,name,parent,child,x,y,z,qw,qx,qy,qz,axis_x,axis_y,axis_z,value,joint_type,virtual,comp_type,comp_index
link,base,,,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,0,,
link,l1,,,0.000000,0.000000,0.100000,0.707107,0.000000,-0.707107,0.000000,,,,,,0,,
link,l2,,,0.493723,0.000000,0.121023,0.996857,0.000000,0.079226,0.000000,,,,,,0,,
link,l3,,,0.730191,0.000000,0.470787,0.492691,0.000000,-0.870204,0.000000,,,,,,0,,
link,l4,,,0.386468,0.000000,0.949762,0.260119,0.000000,-0.965577,0.000000,,,,,,0,,
link,_s_link1_3,,,0.472936,0.000000,0.899529,0.492691,0.000000,-0.870204,0.000000,,,,,,1,,
link,_s_link2_3,,,0.472936,0.000000,0.899529,0.260119,0.000000,-0.965577,0.000000,,,,,,1,,
joint,,base,l1,0.000000,0.000000,0.000000,,,,,0.000000,0.000000,1.000000,0.000000,1,,0,-1
joint,,l1,l2,0.000000,0.000000,0.200000,,,,,0.000000,-1.000000,0.000000,-1.729415,1,,0,-1
joint,,l2,l3,0.987446,0.000000,0.042045,,,,,0.000000,-1.000000,0.000000,2.269852,1,,0,-1
joint,,l3,_s_link1_3,0.472936,0.000000,0.899529,,,,,-0.514510,0.000000,0.857484,0.000000,1,,1,0
joint,,_s_link1_3,_s_link2_3,0.472936,0.000000,0.899529,,,,,0.000000,1.000000,0.000000,-0.504068,1,,1,1
joint,,_s_link2_3,l4,0.472936,0.000000,0.899529,,,,,-0.864676,0.000000,0.502330,0.000000,1,,1,2
frame,gripper,l4,,0.300001,0.000000,0.999995,0.260119,0.000000,-0.965577,0.000000,,,,,,,,
