type,name,parent,child,x,y,z,qw,qx,qy,qz,axis_x,axis_y,axis_z,value,joint_type,virtual,comp_type,comp_index
link,base,,,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,0,,
link,l1,,,0.000000,0.000000,0.100000,0.707107,0.000000,-0.707107,0.000000,,,,,,0,,
link,l2,,,0.485896,0.000000,0.317921,0.992923,0.000000,-0.118761,0.000000,,,,,,0,,
link,l3,,,0.642005,0.000000,0.811661,0.412569,0.000000,-0.910927,0.000000,,,,,,0,,
link,l4,,,0.221192,0.000000,1.228885,0.211829,0.000000,-0.977307,0.000000,,,,,,0,,
link,_s_link1_3,,,0.312218,0.000000,1.187481,0.412569,0.000000,-0.910927,0.000000,,,,,,1,,
link,_s_link2_3,,,0.312218,0.000000,1.187481,0.211829,0.000000,-0.977307,0.000000,,,,,,1,,
joint,,base,l1,0.000000,0.000000,0.000000,,,,,0.000000,0.000000,1.000000,0.000000,1,,0,-1
joint,,l1,l2,0.000000,0.000000,0.200000,,,,,0.000000,-1.000000,0.000000,-1.332712,1,,0,-1
joint,,l2,l3,0.971792,0.000000,0.435841,,,,,0.000000,-1.000000,0.000000,2.052964,1,,0,-1
joint,,l3,_s_link1_3,0.312218,0.000000,1.187481,,,,,-0.659574,0.000000,0.751640,0.000000,1,,1,0
joint,,_s_link1_3,_s_link2_3,0.312218,0.000000,1.187481,,,,,0.000000,1.000000,0.000000,-0.423652,1,,1,1
joint,,_s_link2_3,l4,0.312218,0.000000,1.187481,,,,,-0.910257,0.000000,0.414044,0.000000,1,,1,2
frame,gripper,l4,,0.130166,0.000000,1.270289,0.211829,0.000000,-0.977307,0.000000,,,,,,,,
