type,name,parent,child,x,y,z,qw,qx,qy,qz,axis_x,axis_y,axis_z,value,joint_type,virtual,comp_type,comp_index
link,base,,,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,0,,
link,l1,,,0.000000,0.000000,0.100000,0.707107,0.000000,-0.707107,0.000000,,,,,,0,,
link,l2,,,0.485146,0.000000,0.320968,0.992545,0.000000,-0.121877,0.000000,,,,,,0,,
link,l3,,,0.609660,0.000000,0.788267,0.373321,0.000000,-0.927702,0.000000,,,,,,0,,
link,l4,,,0.154519,0.000000,1.167276,0.165681,0.000000,-0.986179,0.000000,,,,,,0,,
link,_s_link1_3,,,0.249029,0.000000,1.134598,0.373321,0.000000,-0.927702,0.000000,,,,,,1,,
link,_s_link2_3,,,0.249029,0.000000,1.134598,0.165681,0.000000,-0.986179,0.000000,,,,,,1,,
joint,,base,l1,0.000000,0.000000,0.000000,,,,,0.000000,0.000000,1.000000,0.000000,1,,0,-1
joint,,l1,l2,0.000000,0.000000,0.200000,,,,,0.000000,-1.000000,0.000000,-1.326435,1,,0,-1
joint,,l2,l3,0.970292,0.000000,0.441937,,,,,0.000000,-1.000000,0.000000,2.132059,1,,0,-1
joint,,l3,_s_link1_3,0.249029,0.000000,1.134598,,,,,-0.721263,0.000000,0.692661,0.000000,1,,1,0
joint,,_s_link1_3,_s_link2_3,0.249029,0.000000,1.134598,,,,,0.000000,1.000000,0.000000,-0.432275,1,,1,1
joint,,_s_link2_3,l4,0.249029,0.000000,1.134598,,,,,-0.945100,0.000000,0.326782,0.000000,1,,1,2
frame,gripper,l4,,0.060009,0.000000,1.199955,0.165681,0.000000,-0.986179,0.000000,,,,,,,,
