type,name,parent,child,x,y,z,qw,qx,qy,qz,axis_x,axis_y,axis_z,value,joint_type,virtual,comp_type,comp_index
link,base,,,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,,,,,,0,,
link,l1,,,0.000000,0.000000,0.100000,0.707107,0.000000,-0.707107,0.000000,,,,,,0,,
link,l2,,,0.498361,0.000000,0.159545,0.999180,0.000000,0.040488,0.000000,,,,,,0,,
link,l3,,,0.731061,0.000000,0.542675,0.484086,0.000000,-0.875020,0.000000,,,,,,0,,
link,l4,,,0.378940,0.000000,1.016506,0.260187,0.000000,-0.965558,0.000000,,,,,,0,,
link,_s_link1_3,,,0.465401,0.000000,0.966261,0.484086,0.000000,-0.875020,0.000000,,,,,,1,,
link,_s_link2_3,,,0.465401,0.000000,0.966261,0.260187,0.000000,-0.965558,0.000000,,,,,,1,,
joint,,base,l1,0.000000,0.000000,0.000000,,,,,0.000000,0.000000,1.000000,0.000000,1,,0,-1
joint,,l1,l2,0.000000,0.000000,0.200000,,,,,0.000000,-1.000000,0.000000,-1.651795,1,,0,-1
joint,,l2,l3,0.996721,0.000000,0.119090,,,,,0.000000,-1.000000,0.000000,2.211953,1,,0,-1
joint,,l3,_s_link1_3,0.465401,0.000000,0.966261,,,,,-0.531321,0.000000,0.847171,0.000000,1,,1,0
joint,,_s_link1_3,_s_link2_3,0.465401,0.000000,0.966261,,,,,0.000000,1.000000,0.000000,-0.484206,1,,1,1
joint,,_s_link2_3,l4,0.465401,0.000000,0.966261,,,,,-0.864605,0.000000,0.502452,0.000000,1,,1,2
frame,gripper,l4,,0.292480,0.000000,1.066751,0.260187,0.000000,-0.965558,0.000000,,,,,,,,
