time,P,I,D,u
0.805,0,0,-0,0
0.806,0,0,-0,0
0.807,0,0,-0,0
0.808,0,0,-0,0
0.809,0,0,-0,0
0.81,0,0,-0,0
0.811,0,0,-0,0
0.812,0,0,-0,0
0.813,0,0,-0,0
0.814,0,0,-0,0
0.815,0,0,-0,0
0.816,0,0,-0,0
0.817,0,0,-0,0
0.818,0,0,-0,0
0.819,0,0,-0,0
0.82,0,0,-0,0
0.821,0,0,-0,0
0.822,0,0,-0,0
0.823,0,0,-0,0
0.824,0,0,-0,0
0.825,0,0,-0,0
0.826,0,0,-0,0
0.827,0,0,-0,0
0.828,0,0,-0,0
0.829,0,0,-0,0
0.83,0,0,-0,0
0.831,0,0,-0,0
0.832,0,0,-0,0
0.833,0,0,-0,0
0.834,0,0,-0,0
0.835,0,0,-0,0
0.836,0,0,-0,0
0.837,0,0,-0,0
0.838,0,0,-0,0
0.839,0,0,-0,0
0.84,0,0,-0,0
0.841,0,0,-0,0
0.842,0,0,-0,0
0.843,0,0,-0,0
0.844,0,0,-0,0
0.845,0,0,-0,0
0.846,0,0,-0,0
0.847,0,0,-0,0
0.848,0,0,-0,0
0.849,0,0,-0,0
0.85,0,0,-0,0
0.851,0,0,-0,0
0.852,0,0,-0,0
0.853,0,0,-0,0
0.854,0,0,-0,0
0.855,0,0,-0,0
0.856,0,0,-0,0
0.857,0,0,-0,0
0.858,0,0,-0,0
0.859,0,0,-0,0
0.86,0,0,-0,0
0.861,0,0,-0,0
0.862,0,0,-0,0
0.863,0,0,-0,0
0.864,0,0,-0,0
0.865,0,0,-0,0
0.866,0,0,-0,0
0.867,0,0,-0,0
0.868,0,0,-0,0
0.869,0,0,-0,0
0.87,0,0,-0,0
0.871,0,0,-0,0
0.872,0,0,-0,0
0.873,0,0,-0,0
0.874,0,0,-0,0
0.875,0,0,-0,0
0.876,0,0,-0,0
0.877,0,0,-0,0
0.878,0,0,-0,0
0.879,0,0,-0,0
0.88,0,0,-0,0
0.881,0,0,-0,0
0.882,0,0,-0,0
0.883,0,0,-0,0
0.884,0,0,-0,0
0.885,0,0,-0,0
0.886,0,0,-0,0
0.887,0,0,-0,0
0.888,0,0,-0,0
0.889,0,0,-0,0
0.89,0,0,-0,0
0.891,0,0,-0,0
0.892,0,0,-0,0
0.893,0,0,-0,0
0.894,0,0,-0,0
0.895,0,0,-0,0
0.896,0,0,-0,0
0.897,0,0,-0,0
0.898,0,0,-0,0
0.899,0,0,-0,0
0.9,0,0,-0,0
0.901,0,0,-0,0
0.902,0,0,-0,0
0.903,0,0,-0,0
0.904,0,0,-0,0
0.905,0,0,-0,0
0.906,0,0,-0,0
0.907,0,0,-0,0
0.908,0,0,-0,0
0.909,0,0,-0,0
0.91,0,0,-0,0
0.911,0,0,-0,0
0.912,0,0,-0,0
0.913,0,0,-0,0
0.914,0,0,-0,0
0.915,0,0,-0,0
0.916,0,0,-0,0
0.917,0,0,-0,0
0.918,0,0,-0,0
0.919,0,0,-0,0
0.92,0,0,-0,0
0.921,0,0,-0,0
0.922,0,0,-0,0
0.923,0,0,-0,0
0.924,0,0,-0,0
0.925,0,0,-0,0
0.926,0,0,-0,0
0.927,0,0,-0,0
0.928,0,0,-0,0
0.929,0,0,-0,0
0.93,0,0,-0,0
0.931,0,0,-0,0
0.932,0,0,-0,0
0.933,0,0,-0,0
0.934,0,0,-0,0
0.935,0,0,-0,0
0.936,0,0,-0,0
0.937,0,0,-0,0
0.938,0,0,-0,0
0.939,0,0,-0,0
0.94,0,0,-0,0
0.941,0,0,-0,0
0.942,0,0,-0,0
0.943,0,0,-0,0
0.944,0,0,-0,0
0.945,0,0,-0,0
0.946,0,0,-0,0
0.947,0,0,-0,0
0.948,0,0,-0,0
0.949,0,0,-0,0
0.95,0,0,-0,0
0.951,0,0,-0,0
0.952,0,0,-0,0
0.953,0,0,-0,0
0.954,0,0,-0,0
0.955,0,0,-0,0
0.956,0,0,-0,0
0.957,0,0,-0,0
0.958,0,0,-0,0
0.959,0,0,-0,0
0.96,0,0,-0,0
0.961,0,0,-0,0
0.962,0,0,-0,0
0.963,0,0,-0,0
0.964,0,0,-0,0
0.965,0,0,-0,0
0.966,0,0,-0,0
0.967,0,0,-0,0
0.968,0,0,-0,0
0.969,0,0,-0,0
0.97,0,0,-0,0
0.971,0,0,-0,0
0.972,0,0,-0,0
0.973,0,0,-0,0
0.974,0,0,-0,0
0.975,0,0,-0,0
0.976,0,0,-0,0
0.977,0,0,-0,0
0.978,0,0,-0,0
0.979,0,0,-0,0
0.98,0,0,-0,0
0.981,0,0,-0,0
0.982,0,0,-0,0
0.983,0,0,-0,0
0.984,0,0,-0,0
0.985,0,0,-0,0
0.986,0,0,-0,0
0.987,0,0,-0,0
0.988,0,0,-0,0
0.989,0,0,-0,0
0.99,0,0,-0,0
0.991,0,0,-0,0
0.992,0,0,-0,0
0.993,0,0,-0,0
0.994,0,0,-0,0
0.995,0,0,-0,0
0.996,0,0,-0,0
0.997,0,0,-0,0
0.998,0,0,-0,0
0.999,0,0,-0,0
1,400,0.05,-0,400.05
1.001,400,0.15,-0,400.15
1.002,400,0.25,-0,400.25
1.003,400,0.35,-0,400.35
1.004,400,0.45,-0,400.45
1.005,400,0.55,-0,400.55
1.006,400,0.65,-0,400.65
1.007,400,0.75,-0,400.75
1.008,400,0.85,-0,400.85
1.009,400,0.95,-0,400.95
1.01,400,1.05,-0,401.05
1.011,400,1.15,-0,401.15
1.012,400,1.25,-0,401.25
1.013,400,1.35,-0,401.35
1.014,400,1.45,-0,401.45
1.015,400,1.55,-0,401.55
1.016,400,1.65,-0,401.65
1.017,400,1.75,-0,401.75
1.018,400,1.85,-0,401.85
1.019,400,1.95,-0,401.95
1.02,400,2.05,-0,402.05
1.021,400,2.15,-0,402.15
1.022,400,2.25,-0,402.25
1.023,400,2.35,-0,402.35
1.024,400,2.45,-0,402.45
1.025,400,2.55,-0,402.55
1.026,400,2.65,-0,402.65
1.027,400,2.75,-0,402.75
1.028,400,2.85,-0,402.85
1.029,400,2.95,-0,402.95
1.03,400,3.05,-0,403.05
1.031,400,3.15,-0,403.15
1.032,400,3.25,-0,403.25
1.033,400,3.35,-0,403.35
1.034,400,3.45,-0,403.45
1.035,400,3.55,-0,403.55
1.036,400,3.65,-0,403.65
1.037,400,3.75,-0,403.75
1.038,400,3.85,-0,403.85
1.039,400,3.95,-0,403.95
1.04,400,4.05,-0,404.05
1.041,400,4.15,-0,404.15
1.042,400,4.25,-0,404.25
1.043,400,4.35,-0,404.35
1.044,400,4.45,-0,404.45
1.045,400,4.55,-0,404.55
1.046,400,4.65,-0,404.65
1.047,400,4.75,-0,404.75
1.048,400,4.85,-0,404.85
1.049,400,4.95,-0,404.95
1.05,400,5.05,-0,405.05
1.051,400,5.15,-0,405.15
1.052,400,5.25,-0,405.25
1.053,400,5.35,-0,405.35
1.054,400,5.45,-0,405.45
1.055,400,5.55,-0,405.55
1.056,400,5.65,-0,405.65
